DEPTH	DT	ZDEN	GR	CNCF	M2RX	POR	PERM	SW	PROD
2031.25	65.33589	2.5581	54.23053	0.06693389	34.68514	9.020649	0.6062714	35.82479	429.637630361169
2030.15	65.7113	2.551201	35.15235	0.06751206	35.41763	9.217358	0.6754061	34.70784	497.57965975663
2030.3	65.75152	2.5535	36.29184	0.06772407	35.17634	9.1135	0.6380002	35.21273	461.132615995959
2032.3	65.13824	2.584202	40.34171	0.07119279	31.17794	7.720215	0.2970849	43.9768	157.29250663814
2032.35	65.10194	2.582002	40.8432	0.07091179	30.38164	7.832115	0.3158849	43.9794	169.662485877675
2030.9	65.57035	2.5599	61.21333	0.0664387	36.33916	9.046626	0.6150088	34.85231	443.707873986081
2031.65	65.27331	2.570002	49.29195	0.06750526	34.00367	8.481397	0.4510193	38.3956	288.472487281482
2030.4501	65.80637	2.5534	39.05039	0.06721669	32.30814	9.123695	0.6414985	36.80402	452.778717506969
2032.9	64.40096	2.569301	48.34529	0.06640557	29.71565	8.487811	0.4525994	41.22082	276.41610670833
