DEPTH	DT	ZDEN	GR	CNCF	M2RX	POR	PERM	SW	PROD
1293.3	78.74489	2.449002	50.97627	12.26753	11.97892	12.564	2.017007	64.54588	383.195619323847
1294.6	72.67836	2.460008	43.95703	11.35545	11.27236	12.15886	1.745905	68.4017	286.085388224533
1294.7	72.38498	2.455001	42.24196	11.06306	11.82882	12.29898	1.836003	66.12309	326.260700470577
1292.1	73.16524	2.46101	57.03358	14.05669	17.11531	12.371	1.885095	54.72259	450.337504122324
1293.2	79.72639	2.456	57.78634	13.66219	12.08304	12.43593	1.927815	64.83257	359.585977661526
1433.6	69.24803	2.505999	45.11489	9.853178	77.72566	9.418987	0.5679942	44.98503	36.5829679792456
1434.2001	68.96183	2.516999	39.31078	9.462043	90.35667	8.899048	0.4420256	44.15742	27.3027507659305
1435.1	76.61932	2.467042	49.20377	15.22475	20.95872	11.44997	1.341549	71.2448	54.9006187589965
